Rank,Name,Team,ByeWeek,Age,Position,PositionRank,Week1ADP,Week2ADP,Week3ADP,HighestADP,LowestADP,AverageDraftPositionPPR
1,Saquon Barkley,NYG,11,25,RB,RB1,16.4,18.1,18.8,16.4,39.6,1.4
2,Alvin Kamara,NO,9,27,RB,RB2,12,16.1,18,8.6,18.7,2.5
3,Christian McCaffrey,CAR,7,26,RB,RB3,2,2,2,2,9.1,3.2
4,Ezekiel Elliott,DAL,8,27,RB,RB4,25.5,26.7,26.6,23.9,26.7,3.9
5,Davante Adams,GB,11,29,WR,WR1,11.7,11.7,11.3,10.2,12,6.4
6,DeAndre Hopkins,HOU,10,30,WR,WR2,90.7,53.6,50.9,26.5,90.7,7
7,James Conner,PIT,7,27,RB,RB5,28.6,30,31.5,28.6,52.5,7.1
7,David Johnson,ARI,12,30,RB,RB6,null,null,null,null,null,7.1
9,Le'Veon Bell,NYJ,4,30,RB,RB7,null,null,null,null,null,8.8
10,Julio Jones,ATL,9,33,WR,WR3,119.4,133.8,141.5,50.3,152.5,10.2
11,Michael Thomas,NO,9,29,WR,WR4,50,49.8,52.6,37.8,54,10.4
12,Nick Chubb,CLE,7,26,RB,RB8,17.9,15.7,14.5,7.8,17.9,11.7
13,JuJu Smith-Schuster,PIT,7,25,WR,WR5,74.6,83.4,88.7,74.6,117.4,12.9
14,Tyreek Hill,KC,12,28,WR,WR6,23.2,22.8,22.1,17.8,23.2,13.9
15,Dalvin Cook,MIN,12,27,RB,RB9,7.3,7.8,7.9,2.3,7.9,14.6
16,Odell Beckham Jr.,CLE,7,29,WR,WR7,null,null,null,null,null,15.1
17,Todd Gurley II,LAR,9,28,RB,RB10,null,null,null,null,null,16
18,Travis Kelce,KC,12,32,TE,TE1,15.1,15.3,14.9,12.5,15.4,17.1
19,Joe Mixon,CIN,9,26,RB,RB11,9.9,10.2,10.1,2.2,26.8,18.4
20,Patrick Mahomes,KC,12,26,QB,QB1,39,39.1,37.1,28.5,39.1,19.3
21,Mike Evans,TB,7,29,WR,WR8,24.9,25.1,24.1,22.5,28.8,20.2
22,Antonio Brown,LV,6,34,WR,WR9,null,null,null,null,null,21.4
23,Adam Thielen,MIN,12,32,WR,WR10,62.4,63.6,62.3,55.7,63.6,22.9
24,Leonard Fournette,JAX,10,27,RB,RB12,21.8,23.3,24.2,21.8,49.4,23.2
25,Keenan Allen,LAC,12,30,WR,WR11,28.6,27.3,27.3,26.8,30.9,25
26,Damien Williams,KC,12,30,RB,RB13,234,167.2,175.2,158.8,234,25.5
27,Chris Carson,SEA,11,27,RB,RB14,1015,954,961,90.9,1015,26.5
28,George Kittle,SF,4,28,TE,TE2,43,42.8,40.5,31.9,43,28.3
29,Kerryon Johnson,DET,5,25,RB,RB15,null,null,null,null,null,28.5
30,Aaron Jones,GB,11,27,RB,RB16,15.1,15.3,15.4,15.1,27.4,29.2
31,Devonta Freeman,ATL,9,30,RB,RB17,null,null,null,null,null,30.4
32,Stefon Diggs,MIN,12,28,WR,WR12,13.8,13.3,13.3,13.1,18.6,30.8
33,David Montgomery,CHI,6,25,RB,RB18,36.1,32.3,30.1,18.1,36.1,31.3
34,Josh Jacobs,LV,6,24,RB,RB19,44.1,45.4,45.2,41.8,48.8,33.1
34,Amari Cooper,DAL,8,28,WR,WR13,79.3,75.7,72.1,44.8,79.3,33.1
36,Zach Ertz,PHI,10,31,TE,TE3,91,96.6,96.9,91,138,33.5
37,Julian Edelman,NE,10,36,WR,WR14,null,null,null,null,null,36.1
38,Sony Michel,NE,10,27,RB,RB20,177.9,160.1,153,83.9,242,37.4
39,Brandin Cooks,LAR,9,28,WR,WR15,55.8,56.1,56.4,55.3,58.3,39.1
40,Mark Ingram II,BAL,8,32,RB,RB21,145.6,125.3,122.7,119.4,162.4,39.7
41,Chris Godwin,TB,7,26,WR,WR16,53.8,55.6,55.7,41.7,55.7,39.9
42,Melvin Gordon III,LAC,12,29,RB,RB22,85.2,89.1,86.3,78.6,89.1,42
43,Robert Woods,LAR,9,30,WR,WR17,100.7,101.7,98.7,62.3,101.7,42.2
44,Tyler Lockett,SEA,11,29,WR,WR18,105.8,108.6,106.1,40.9,167,42.9
45,Derrick Henry,TEN,11,28,RB,RB23,4.1,4.1,4,1.7,4.3,43.8
46,Cooper Kupp,LAR,9,29,WR,WR19,5.6,5.4,4,3.1,5.7,45.2
47,Marlon Mack,IND,6,26,RB,RB24,233,122.4,119.3,115.8,233,46.5
48,Deshaun Watson,HOU,10,26,QB,QB2,182.2,129.9,128.2,98.2,182.2,47.1
48,Kenny Golladay,DET,5,28,WR,WR20,175.1,163.6,162.3,135.3,175.1,47.1
50,James White,NE,10,30,RB,RB25,725,671,171.9,136.4,725,48.1
51,T.Y. Hilton,IND,6,32,WR,WR21,null,null,null,null,null,49
52,Tyler Boyd,CIN,9,27,WR,WR22,117.2,133.4,134.9,117.2,135.6,51.5
53,Duke Johnson,HOU,10,28,RB,RB26,284,240,237,235,287,51.7
