Rank,Name,Team,ByeWeek,Age,Position,PositionRank,Week1ADP,Week2ADP,Week3ADP,HighestADP,LowestADP,AverageDraftPositionPPR
1,Antonio Brown,PIT,8,34,WR,WR1,null,null,null,null,null,1.2
2,Julio Jones,ATL,11,33,WR,WR2,119.4,133.8,141.5,50.3,152.5,2.8
3,Odell Beckham Jr.,NYG,8,29,WR,WR3,null,null,null,null,null,3.4
3,David Johnson,ARI,9,30,RB,RB1,null,null,null,null,null,3.4
5,Todd Gurley II,LAR,8,28,RB,RB2,null,null,null,null,null,6.3
6,A.J. Green,CIN,9,34,WR,WR4,219,196,144.1,144.1,219,6.4
6,DeAndre Hopkins,HOU,9,30,WR,WR5,90.7,53.6,50.9,26.5,90.7,6.4
8,Ezekiel Elliott,DAL,7,27,RB,RB3,25.5,26.7,26.6,23.9,26.7,8.3
9,Allen Robinson II,JAX,5,29,WR,WR6,54.3,56.8,59.9,54.3,81.4,9.2
10,Lamar Miller,HOU,9,31,RB,RB4,null,null,null,null,null,9.8
11,Adrian Peterson,MIN,6,37,RB,RB5,null,null,null,null,null,10.7
12,Le'Veon Bell,PIT,8,30,RB,RB6,null,null,null,null,null,12.3
13,Brandon Marshall,NYJ,11,38,WR,WR7,null,null,null,null,null,13
14,Keenan Allen,LAC,11,30,WR,WR8,28.6,27.3,27.3,26.8,30.9,13.8
15,Rob Gronkowski,NE,9,33,TE,TE1,null,null,null,null,null,14.2
16,Mike Evans,TB,6,29,WR,WR9,24.9,25.1,24.1,22.5,28.8,15.7
17,Dez Bryant,DAL,7,33,WR,WR10,null,null,null,null,null,16.4
18,Jordy Nelson,GB,4,37,WR,WR11,null,null,null,null,null,17.3
19,Devonta Freeman,ATL,11,30,RB,RB7,null,null,null,null,null,19.2
20,Jamaal Charles,KC,5,35,RB,RB8,null,null,null,null,null,19.4
21,Amari Cooper,LV,10,28,WR,WR12,79.3,75.7,72.1,44.8,79.3,20.1
22,LeSean McCoy,BUF,10,34,RB,RB9,null,null,null,null,null,22
23,Alshon Jeffery,CHI,9,32,WR,WR13,null,null,null,null,null,22.1
24,Brandin Cooks,NO,5,28,WR,WR14,55.8,56.1,56.4,55.3,58.3,23.3
25,Eddie Lacy,GB,4,31,RB,RB10,null,null,null,null,null,24
26,Mark Ingram II,NO,5,32,RB,RB11,145.6,125.3,122.7,119.4,162.4,25.5
27,Jarvis Landry,MIA,8,29,WR,WR15,176.2,136.1,132.6,111,176.2,26.9
28,Sammy Watkins,BUF,10,29,WR,WR16,185.2,175.5,175.7,155.4,212,28.3
29,T.Y. Hilton,IND,10,32,WR,WR17,null,null,null,null,null,29.4
30,Demaryius Thomas,DEN,11,34,WR,WR18,null,null,null,null,null,29.7
31,Doug Martin,TB,6,33,RB,RB12,null,null,null,null,null,30.8
32,Randall Cobb,GB,4,32,WR,WR19,214,190,155.8,151.1,215,31.5
33,CJ Anderson,DEN,11,31,RB,RB13,null,null,null,null,null,33.2
34,Cam Newton,CAR,7,33,QB,QB1,null,null,null,null,null,34.5
35,Jordan Reed,WAS,9,32,TE,TE2,null,null,null,null,null,35.1
35,Julian Edelman,NE,9,36,WR,WR20,null,null,null,null,null,35.1
37,Latavius Murray,LV,10,32,RB,RB14,null,null,null,null,null,35.8
38,Jeremy Maclin,KC,5,34,WR,WR21,null,null,null,null,null,37.3
39,Donte Moncrief,IND,10,29,WR,WR22,null,null,null,null,null,38.4
40,Aaron Rodgers,GB,4,38,QB,QB2,76.8,78.8,76.6,62.1,78.8,38.7
41,Kelvin Benjamin,CAR,7,31,WR,WR23,null,null,null,null,null,39.2
42,DeMarco Murray,TEN,13,34,RB,RB15,null,null,null,null,null,40.3
43,Thomas Rawls,SEA,5,29,RB,RB16,null,null,null,null,null,41
44,Matt Forte,NYJ,11,36,RB,RB17,null,null,null,null,null,43.1
45,Golden Tate,DET,10,34,WR,WR24,null,null,null,null,null,43.6
46,Eric Decker,NYJ,11,35,WR,WR25,null,null,null,null,null,44.9
47,Carlos Hyde,SF,8,31,RB,RB18,null,null,null,null,null,45.7
48,Jeremy Langford,CHI,9,30,RB,RB19,null,null,null,null,null,47.1
49,Greg Olsen,CAR,7,37,TE,TE3,null,null,null,null,null,48.4
50,Doug Baldwin,SEA,5,33,WR,WR26,null,null,null,null,null,48.8
51,Jeremy Hill,CIN,9,29,RB,RB20,null,null,null,null,null,49.1
52,Josh Gordon,CLE,13,31,WR,WR27,433,333,337,315,433,49.8
53,Michael Floyd,ARI,9,32,WR,WR28,null,null,null,null,null,52.3
